graph_id,node_id,node_name,node_category,node_text,predicted_ra_id,predicted_ra_name,predicted_score,ground_truth_ra_names,correct,top_k_matches
AADL-Architecture-of-Smart-Parking-_InformationServiceProvider_ISP_impl_1.aaxl2,comp_sub_hw_bus,sub_hw_bus,bus,sub hw bus category bus classifier github aadl-architecture-of-smart-parking- information service provider aadl information service provider hardware comm impl,comp.presentation,Presentation_Layer,0.026682155834515806,Data_Management_Layer|Data_Management_Layer,0,"[{""ra_id"": ""comp.presentation"", ""ra_name"": ""Presentation_Layer"", ""score"": 0.026682155834515806}]"
AADL-Architecture-of-Smart-Parking-_InformationServiceProvider_ISP_impl_1.aaxl2,comp_sub_tic,sub_TIC,processor,sub tic category processor classifier github aadl-architecture-of-smart-parking- information service provider aadl information service provider tic impl ports bus access,comp.presentation,Presentation_Layer,0.036125907586775405,Data_Management_Layer|Data_Management_Layer|Data_Management_Layer|Data_Management_Layer,0,"[{""ra_id"": ""comp.presentation"", ""ra_name"": ""Presentation_Layer"", ""score"": 0.036125907586775405}]"
AADL-Architecture-of-Smart-Parking-_InformationServiceProvider_ISP_impl_1.aaxl2,comp_collection,collection,memory,collection category memory classifier github aadl-architecture-of-smart-parking- information service provider aadl information service provider data collection,comp.data,Data_Management_Layer,0.10292978637451723,Data_Management_Layer|Data_Management_Layer|Data_Management_Layer|Data_Management_Layer,1,"[{""ra_id"": ""comp.data"", ""ra_name"": ""Data_Management_Layer"", ""score"": 0.10292978637451723}]"
AADL-Architecture-of-Smart-Parking-_RSE_RSEOwner_impl_1.aaxl2,comp_rse_electric_charge_support_provider,RSE_ElectricChargeSupportProvider,process,rse electric charge support provider category process classifier github aadl-architecture-of-smart-parking- rse aadl rse rse electric charge support provider ports rse ecsp data in rse ecsp data out,comp.data,Data_Management_Layer,0.10321913342672932,Business_Logic_Layer|Business_Logic_Layer,0,"[{""ra_id"": ""comp.data"", ""ra_name"": ""Data_Management_Layer"", ""score"": 0.10321913342672932}]"
AADL-Architecture-of-Smart-Parking-_RSE_RSEOwner_impl_1.aaxl2,comp_rse_workzone_safety_provider,RSE_WorkzoneSafetyProvider,process,rse workzone safety provider category process classifier github aadl-architecture-of-smart-parking- rse aadl rse rse workzone safety provider ports rse wsp data in rse wsp data out,comp.data,Data_Management_Layer,0.09109927544916006,Business_Logic_Layer|Business_Logic_Layer,0,"[{""ra_id"": ""comp.data"", ""ra_name"": ""Data_Management_Layer"", ""score"": 0.09109927544916006}]"
AADL-Architecture-of-Smart-Parking-_RSE_RSEOwner_impl_1.aaxl2,comp_rse_travel_information_communication_provider,RSE_TravelInformationCommunicationProvider,process,rse travel information communication provider category process classifier github aadl-architecture-of-smart-parking- rse aadl rse rse travel information communication provider ports rse ticp data in rse ticp data out,comp.data,Data_Management_Layer,0.08826102371667836,Business_Logic_Layer|Business_Logic_Layer,0,"[{""ra_id"": ""comp.data"", ""ra_name"": ""Data_Management_Layer"", ""score"": 0.08826102371667836}]"
AADL-Architecture-of-Smart-Parking-_RSE_RSEOwner_impl_1.aaxl2,comp_rse_traffic_metering_provider,RSE_TrafficMeteringProvider,process,rse traffic metering provider category process classifier github aadl-architecture-of-smart-parking- rse aadl rse rse traffic metering provider ports rse tmp data in rse tmp data out,comp.data,Data_Management_Layer,0.09109927544916006,Business_Logic_Layer|Business_Logic_Layer,0,"[{""ra_id"": ""comp.data"", ""ra_name"": ""Data_Management_Layer"", ""score"": 0.09109927544916006}]"
AADL-Architecture-of-Smart-Parking-_RSE_RSEOwner_impl_1.aaxl2,comp_rse_speed_management_provider,RSE_SpeedManagementProvider,process,rse speed management provider category process classifier github aadl-architecture-of-smart-parking- rse aadl rse rse speed management provider ports rse smp data in rse smp data out,comp.data,Data_Management_Layer,0.10728218944839524,Business_Logic_Layer|Business_Logic_Layer,0,"[{""ra_id"": ""comp.data"", ""ra_name"": ""Data_Management_Layer"", ""score"": 0.10728218944839524}]"
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_system,SYSTEM,system,system category system ports signal in signal2 in signal3 in,comp.presentation,Presentation_Layer,0.0,Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer|Business_Logic_Layer,0,"[{""ra_id"": ""comp.presentation"", ""ra_name"": ""Presentation_Layer"", ""score"": 0.0}]"
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_driver,sub_driver,,sub driver classifier github aadl-architecture-of-smart-parking- driver aadl driver driver impl ports driver info input driver out,comp.business,Business_Logic_Layer,0.09234869886557347,Business_Logic_Layer|Business_Logic_Layer,1,"[{""ra_id"": ""comp.business"", ""ra_name"": ""Business_Logic_Layer"", ""score"": 0.09234869886557347}]"
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_hardware_comm,sub_hardwareComm,bus,sub hardware comm category bus classifier github aadl-architecture-of-smart-parking- information service provider aadl information service provider hardware comm impl,comp.presentation,Presentation_Layer,0.025729800040066426,Data_Management_Layer|Data_Management_Layer,0,"[{""ra_id"": ""comp.presentation"", ""ra_name"": ""Presentation_Layer"", ""score"": 0.025729800040066426}]"
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_vehicle_obe,sub_vehicleOBE,device,sub vehicle obe category device classifier github aadl-architecture-of-smart-parking- smart parking system aadl smart parking system vehicle obe ports signal out parking data received,comp.business,Business_Logic_Layer,0.08412035154603785,Business_Logic_Layer|Business_Logic_Layer,1,"[{""ra_id"": ""comp.business"", ""ra_name"": ""Business_Logic_Layer"", ""score"": 0.08412035154603785}]"
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_roadside_obe,sub_roadsideOBE,device,sub roadside obe category device classifier github aadl-architecture-of-smart-parking- smart parking system aadl smart parking system roadside obe ports signal out parking data received,comp.business,Business_Logic_Layer,0.08412035154603785,Data_Management_Layer|Data_Management_Layer,0,"[{""ra_id"": ""comp.business"", ""ra_name"": ""Business_Logic_Layer"", ""score"": 0.08412035154603785}]"
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_parking_manager,sub_parkingManager,process,sub parking manager category process classifier github aadl-architecture-of-smart-parking- smart parking system aadl smart parking system parking manager ports signal out signal in,comp.business,Business_Logic_Layer,0.10562985851531781,Business_Logic_Layer|Business_Logic_Layer,1,"[{""ra_id"": ""comp.business"", ""ra_name"": ""Business_Logic_Layer"", ""score"": 0.10562985851531781}]"
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_rse_electric_charge_support_provider,sub_RSE_ElectricChargeSupportProvider,process,sub rse electric charge support provider category process classifier github aadl-architecture-of-smart-parking- rse aadl rse rse electric charge support provider ports rse ecsp data in rse ecsp data out,comp.data,Data_Management_Layer,0.10227350095290615,Business_Logic_Layer|Business_Logic_Layer,0,"[{""ra_id"": ""comp.data"", ""ra_name"": ""Data_Management_Layer"", ""score"": 0.10227350095290615}]"
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_rse_workzone_safety_provider,sub_RSE_WorkzoneSafetyProvider,process,sub rse workzone safety provider category process classifier github aadl-architecture-of-smart-parking- rse aadl rse rse workzone safety provider ports rse wsp data in rse wsp data out,comp.data,Data_Management_Layer,0.09021093301258964,Business_Logic_Layer|Business_Logic_Layer,0,"[{""ra_id"": ""comp.data"", ""ra_name"": ""Data_Management_Layer"", ""score"": 0.09021093301258964}]"
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_rse_travel_information_communication_provider,sub_RSE_TravelInformationCommunicationProvider,process,sub rse travel information communication provider category process classifier github aadl-architecture-of-smart-parking- rse aadl rse rse travel information communication provider ports rse ticp data in rse ticp data out,comp.data,Data_Management_Layer,0.08745242857129658,Business_Logic_Layer|Business_Logic_Layer,0,"[{""ra_id"": ""comp.data"", ""ra_name"": ""Data_Management_Layer"", ""score"": 0.08745242857129658}]"
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_rse_traffic_metering_provider,sub_RSE_TrafficMeteringProvider,process,sub rse traffic metering provider category process classifier github aadl-architecture-of-smart-parking- rse aadl rse rse traffic metering provider ports rse tmp data in rse tmp data out,comp.data,Data_Management_Layer,0.09021093301258964,Business_Logic_Layer|Business_Logic_Layer,0,"[{""ra_id"": ""comp.data"", ""ra_name"": ""Data_Management_Layer"", ""score"": 0.09021093301258964}]"
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_rse_speed_management_provider,sub_RSE_SpeedManagementProvider,process,sub rse speed management provider category process classifier github aadl-architecture-of-smart-parking- rse aadl rse rse speed management provider ports rse smp data in rse smp data out,comp.data,Data_Management_Layer,0.10622159995372032,Business_Logic_Layer|Business_Logic_Layer,0,"[{""ra_id"": ""comp.data"", ""ra_name"": ""Data_Management_Layer"", ""score"": 0.10622159995372032}]"
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_sub_tic,sub_TIC,processor,sub tic category processor classifier github aadl-architecture-of-smart-parking- information service provider aadl information service provider tic impl ports bus access,comp.presentation,Presentation_Layer,0.036125907586775405,Data_Management_Layer|Data_Management_Layer|Data_Management_Layer|Data_Management_Layer,0,"[{""ra_id"": ""comp.presentation"", ""ra_name"": ""Presentation_Layer"", ""score"": 0.036125907586775405}]"
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1.aaxl2,comp_collection,collection,memory,collection category memory classifier github aadl-architecture-of-smart-parking- information service provider aadl information service provider data collection,comp.data,Data_Management_Layer,0.10292978637451723,Data_Management_Layer|Data_Management_Layer|Data_Management_Layer|Data_Management_Layer,1,"[{""ra_id"": ""comp.data"", ""ra_name"": ""Data_Management_Layer"", ""score"": 0.10292978637451723}]"
AADL-SmartParkingApplication_InformationServiceProvider_ISP_impl_1.aaxl2,comp_sub_hw_bus,sub_hw_bus,bus,sub hw bus category bus classifier github aadl-smart parking application information service provider aadl information service provider hardware comm impl,comp.business,Business_Logic_Layer,0.03550155753883563,Data_Management_Layer|Data_Management_Layer,0,"[{""ra_id"": ""comp.business"", ""ra_name"": ""Business_Logic_Layer"", ""score"": 0.03550155753883563}]"
AADL-SmartParkingApplication_InformationServiceProvider_ISP_impl_1.aaxl2,comp_sub_tic,sub_TIC,processor,sub tic category processor classifier github aadl-smart parking application information service provider aadl information service provider tic impl ports bus access,comp.presentation,Presentation_Layer,0.03624172967545888,Data_Management_Layer|Data_Management_Layer|Data_Management_Layer|Data_Management_Layer,0,"[{""ra_id"": ""comp.presentation"", ""ra_name"": ""Presentation_Layer"", ""score"": 0.03624172967545888}]"
